mz,PS-001_pos.mzML,PS-002_pos.mzML,PS-003_pos.mzML,PS-004_pos.mzML,PS-005_pos.mzML,PS-006_pos.mzML,mzTrim,control_mean,treatment_mean
742.5374512275696,19857220.0,18340980.0,24586640.0,19903230.0,33110790.0,28974760.0,742.5374,20928280,27329593
123.078993354274,1186029.0,1340281.0,2166770.0,867046.2,232390.2,656696.4,123.0789,1564360,585377
479.33661466212953,32954800.0,26604680.0,24262450.0,25638380.0,18284170.0,20641170.0,479.3366,27940643,21521240
481.3156772431217,17039650.0,14083520.0,13112820.0,12997390.0,10779760.0,10621690.0,481.3156,14745330,11466280
170.09207904738955,97936250.0,67619270.0,117014000.0,114740100.0,98452490.0,111230600.0,170.092,94189840,108141063
151.09779812486832,18416680.0,8734654.0,381691.5,13563160.0,1530419.0,13323810.0,151.0977,9177675,9472463
210.12349117338533,740609.5,446314.9,102987.6,241468.1,279210.1,672052.1,210.1234,429971,397576
468.284071868945,14294690.0,14437790.0,15701920.0,11240430.0,14288510.0,9479049.0,468.284,14811467,11669329
455.30051476570657,10369020.0,8440435.0,6977531.0,7708767.0,4656816.0,5908719.0,455.3005,8595662,6091434
768.5867368677859,680785.5,659938.1,693321.2,970422.0,1684949.0,1483032.0,768.5867,678015,1379467
524.3706810788356,23060040.0,19524650.0,33263630.0,14885730.0,30415740.0,25865220.0,524.3706,25282773,23722230
180.07692720254235,1049828.0,854401.6,219693.8,2286620.0,745371.6,1716028.0,180.0769,707974,1582673
769.5725851452138,5400824.0,18952240.0,2261018.0,5842330.0,4988644.0,5139206.0,769.5725,8871361,5323393
136.06149082323577,871987000.0,1006921000.0,1001537000.0,299270000.0,850823400.0,390481400.0,136.0614,960148333,513524933
760.6232372663194,4361688.0,18155280.0,2090420.0,5145142.0,5179161.0,5272454.0,760.6232,8202463,5198919
194.0922271187743,903188.0,935921.9,128284.2,1870580.0,96227.81,2361753.0,194.0922,655798,1442853
379.12071162422905,1096551.0,799434.8,3223226.0,635880.6,785687.4,808480.2,379.1207,1706404,743349
790.5353303840607,40488160.0,38028220.0,43025120.0,35539150.0,55140170.0,52629240.0,790.5353,40513833,47769520
